instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,jenis_penyewa
24,2011-01-01,Spring,2011,Jan,23,Not Holiday,Saturday,Holiday,Mist,0.46,0.4545,0.88,0.2985,15,24,39,Evening Riders
25,2011-01-02,Spring,2011,Jan,0,Not Holiday,Sunday,Holiday,Mist,0.46,0.4545,0.88,0.2985,4,13,17,Night Riders
26,2011-01-02,Spring,2011,Jan,1,Not Holiday,Sunday,Holiday,Mist,0.44,0.4394,0.94,0.2537,1,16,17,Night Riders
27,2011-01-02,Spring,2011,Jan,2,Not Holiday,Sunday,Holiday,Mist,0.42,0.4242,1.0,0.2836,1,8,9,Night Riders
28,2011-01-02,Spring,2011,Jan,3,Not Holiday,Sunday,Holiday,Mist,0.46,0.4545,0.94,0.194,2,4,6,Night Riders
29,2011-01-02,Spring,2011,Jan,4,Not Holiday,Sunday,Holiday,Mist,0.46,0.4545,0.94,0.194,2,1,3,Night Riders
30,2011-01-02,Spring,2011,Jan,6,Not Holiday,Sunday,Holiday,Light_snow,0.42,0.4242,0.77,0.2985,0,2,2,Morning Riders
31,2011-01-02,Spring,2011,Jan,7,Not Holiday,Sunday,Holiday,Mist,0.4,0.4091,0.76,0.194,0,1,1,Morning Riders
32,2011-01-02,Spring,2011,Jan,8,Not Holiday,Sunday,Holiday,Light_snow,0.4,0.4091,0.71,0.2239,0,8,8,Morning Riders
33,2011-01-02,Spring,2011,Jan,9,Not Holiday,Sunday,Holiday,Mist,0.38,0.3939,0.76,0.2239,1,19,20,Morning Riders
34,2011-01-02,Spring,2011,Jan,10,Not Holiday,Sunday,Holiday,Mist,0.36,0.3485,0.81,0.2239,7,46,53,Morning Riders
35,2011-01-02,Spring,2011,Jan,11,Not Holiday,Sunday,Holiday,Mist,0.36,0.3333,0.71,0.2537,16,54,70,Morning Riders
36,2011-01-02,Spring,2011,Jan,12,Not Holiday,Sunday,Holiday,Mist,0.36,0.3333,0.66,0.2985,20,73,93,Afternoon Riders
37,2011-01-02,Spring,2011,Jan,13,Not Holiday,Sunday,Holiday,Mist,0.36,0.3485,0.66,0.1343,11,64,75,Afternoon Riders
38,2011-01-02,Spring,2011,Jan,14,Not Holiday,Sunday,Holiday,Light_snow,0.36,0.3485,0.76,0.194,4,55,59,Afternoon Riders
39,2011-01-02,Spring,2011,Jan,15,Not Holiday,Sunday,Holiday,Light_snow,0.34,0.3333,0.81,0.1642,19,55,74,Afternoon Riders
40,2011-01-02,Spring,2011,Jan,16,Not Holiday,Sunday,Holiday,Light_snow,0.34,0.3333,0.71,0.1642,9,67,76,Afternoon Riders
41,2011-01-02,Spring,2011,Jan,17,Not Holiday,Sunday,Holiday,Clear,0.34,0.3333,0.57,0.194,7,58,65,Afternoon Riders
42,2011-01-02,Spring,2011,Jan,18,Not Holiday,Sunday,Holiday,Mist,0.36,0.3333,0.46,0.3284,10,43,53,Evening Riders
43,2011-01-02,Spring,2011,Jan,19,Not Holiday,Sunday,Holiday,Clear,0.32,0.2879,0.42,0.4478,1,29,30,Evening Riders
44,2011-01-02,Spring,2011,Jan,20,Not Holiday,Sunday,Holiday,Clear,0.3,0.2727,0.39,0.3582,5,17,22,Evening Riders
45,2011-01-02,Spring,2011,Jan,21,Not Holiday,Sunday,Holiday,Clear,0.26,0.2273,0.44,0.3284,11,20,31,Evening Riders
46,2011-01-02,Spring,2011,Jan,22,Not Holiday,Sunday,Holiday,Clear,0.24,0.2121,0.44,0.2985,0,9,9,Evening Riders
47,2011-01-02,Spring,2011,Jan,23,Not Holiday,Sunday,Holiday,Clear,0.22,0.2273,0.47,0.1642,0,8,8,Evening Riders
48,2011-01-03,Spring,2011,Jan,0,Not Holiday,Monday,Working Day,Clear,0.22,0.197,0.44,0.3582,0,5,5,Night Riders
49,2011-01-03,Spring,2011,Jan,1,Not Holiday,Monday,Working Day,Clear,0.2,0.1667,0.44,0.4179,0,2,2,Night Riders
50,2011-01-03,Spring,2011,Jan,4,Not Holiday,Monday,Working Day,Clear,0.16,0.1364,0.47,0.3881,0,1,1,Night Riders
51,2011-01-03,Spring,2011,Jan,5,Not Holiday,Monday,Working Day,Clear,0.16,0.1364,0.47,0.2836,0,3,3,Morning Riders
52,2011-01-03,Spring,2011,Jan,6,Not Holiday,Monday,Working Day,Clear,0.14,0.1061,0.5,0.3881,0,30,30,Morning Riders
53,2011-01-03,Spring,2011,Jan,7,Not Holiday,Monday,Working Day,Clear,0.14,0.1364,0.5,0.194,1,63,64,Morning Riders
54,2011-01-03,Spring,2011,Jan,8,Not Holiday,Monday,Working Day,Clear,0.14,0.1212,0.5,0.2836,1,153,154,Morning Riders
55,2011-01-03,Spring,2011,Jan,9,Not Holiday,Monday,Working Day,Clear,0.16,0.1364,0.43,0.3881,7,81,88,Morning Riders
56,2011-01-03,Spring,2011,Jan,10,Not Holiday,Monday,Working Day,Clear,0.18,0.1667,0.43,0.2537,11,33,44,Morning Riders
57,2011-01-03,Spring,2011,Jan,11,Not Holiday,Monday,Working Day,Clear,0.2,0.1818,0.4,0.3284,10,41,51,Morning Riders
58,2011-01-03,Spring,2011,Jan,12,Not Holiday,Monday,Working Day,Clear,0.22,0.2121,0.35,0.2985,13,48,61,Afternoon Riders
59,2011-01-03,Spring,2011,Jan,13,Not Holiday,Monday,Working Day,Clear,0.24,0.2121,0.35,0.2836,8,53,61,Afternoon Riders
60,2011-01-03,Spring,2011,Jan,14,Not Holiday,Monday,Working Day,Clear,0.26,0.2424,0.3,0.2836,11,66,77,Afternoon Riders
61,2011-01-03,Spring,2011,Jan,15,Not Holiday,Monday,Working Day,Clear,0.26,0.2424,0.3,0.2537,14,58,72,Afternoon Riders
62,2011-01-03,Spring,2011,Jan,16,Not Holiday,Monday,Working Day,Clear,0.26,0.2424,0.3,0.2537,9,67,76,Afternoon Riders
63,2011-01-03,Spring,2011,Jan,17,Not Holiday,Monday,Working Day,Clear,0.24,0.2273,0.3,0.2239,11,146,157,Afternoon Riders
64,2011-01-03,Spring,2011,Jan,18,Not Holiday,Monday,Working Day,Clear,0.24,0.2576,0.32,0.1045,9,148,157,Evening Riders
65,2011-01-03,Spring,2011,Jan,19,Not Holiday,Monday,Working Day,Clear,0.2,0.2576,0.47,0.0,8,102,110,Evening Riders
66,2011-01-03,Spring,2011,Jan,20,Not Holiday,Monday,Working Day,Clear,0.2,0.2273,0.47,0.1045,3,49,52,Evening Riders
67,2011-01-03,Spring,2011,Jan,21,Not Holiday,Monday,Working Day,Clear,0.18,0.197,0.64,0.1343,3,49,52,Evening Riders
68,2011-01-03,Spring,2011,Jan,22,Not Holiday,Monday,Working Day,Clear,0.14,0.1515,0.69,0.1343,0,20,20,Evening Riders
69,2011-01-03,Spring,2011,Jan,23,Not Holiday,Monday,Working Day,Clear,0.18,0.2121,0.55,0.1045,1,11,12,Evening Riders
70,2011-01-04,Spring,2011,Jan,0,Not Holiday,Tuesday,Working Day,Clear,0.16,0.1818,0.55,0.1045,0,5,5,Night Riders
71,2011-01-04,Spring,2011,Jan,1,Not Holiday,Tuesday,Working Day,Clear,0.16,0.1818,0.59,0.1045,0,2,2,Night Riders
72,2011-01-04,Spring,2011,Jan,2,Not Holiday,Tuesday,Working Day,Clear,0.14,0.1515,0.63,0.1343,0,1,1,Night Riders
73,2011-01-04,Spring,2011,Jan,4,Not Holiday,Tuesday,Working Day,Clear,0.14,0.1818,0.63,0.0896,0,2,2,Night Riders
74,2011-01-04,Spring,2011,Jan,5,Not Holiday,Tuesday,Working Day,Clear,0.12,0.1515,0.68,0.1045,0,4,4,Morning Riders
75,2011-01-04,Spring,2011,Jan,6,Not Holiday,Tuesday,Working Day,Clear,0.12,0.1515,0.74,0.1045,0,36,36,Morning Riders
76,2011-01-04,Spring,2011,Jan,7,Not Holiday,Tuesday,Working Day,Clear,0.12,0.1515,0.74,0.1343,2,92,94,Morning Riders
77,2011-01-04,Spring,2011,Jan,8,Not Holiday,Tuesday,Working Day,Clear,0.14,0.1515,0.69,0.1642,2,177,179,Morning Riders
78,2011-01-04,Spring,2011,Jan,9,Not Holiday,Tuesday,Working Day,Clear,0.16,0.1515,0.64,0.2239,2,98,100,Morning Riders
79,2011-01-04,Spring,2011,Jan,10,Not Holiday,Tuesday,Working Day,Mist,0.16,0.1364,0.69,0.3284,5,37,42,Morning Riders
80,2011-01-04,Spring,2011,Jan,11,Not Holiday,Tuesday,Working Day,Clear,0.22,0.2121,0.51,0.2985,7,50,57,Morning Riders
81,2011-01-04,Spring,2011,Jan,12,Not Holiday,Tuesday,Working Day,Clear,0.22,0.2273,0.51,0.1642,12,66,78,Afternoon Riders
82,2011-01-04,Spring,2011,Jan,13,Not Holiday,Tuesday,Working Day,Clear,0.24,0.2273,0.56,0.194,18,79,97,Afternoon Riders
83,2011-01-04,Spring,2011,Jan,14,Not Holiday,Tuesday,Working Day,Clear,0.26,0.2576,0.52,0.2239,9,54,63,Afternoon Riders
84,2011-01-04,Spring,2011,Jan,15,Not Holiday,Tuesday,Working Day,Clear,0.28,0.2727,0.52,0.2537,17,48,65,Afternoon Riders
85,2011-01-04,Spring,2011,Jan,16,Not Holiday,Tuesday,Working Day,Clear,0.3,0.2879,0.49,0.2537,15,68,83,Afternoon Riders
86,2011-01-04,Spring,2011,Jan,17,Not Holiday,Tuesday,Working Day,Clear,0.28,0.2727,0.48,0.2239,10,202,212,Afternoon Riders
87,2011-01-04,Spring,2011,Jan,18,Not Holiday,Tuesday,Working Day,Clear,0.26,0.2576,0.48,0.194,3,179,182,Evening Riders
88,2011-01-04,Spring,2011,Jan,19,Not Holiday,Tuesday,Working Day,Clear,0.24,0.2576,0.48,0.1045,2,110,112,Evening Riders
89,2011-01-04,Spring,2011,Jan,20,Not Holiday,Tuesday,Working Day,Clear,0.24,0.2576,0.48,0.1045,1,53,54,Evening Riders
90,2011-01-04,Spring,2011,Jan,21,Not Holiday,Tuesday,Working Day,Clear,0.22,0.2727,0.64,0.0,0,48,48,Evening Riders
91,2011-01-04,Spring,2011,Jan,22,Not Holiday,Tuesday,Working Day,Clear,0.22,0.2576,0.64,0.0896,1,34,35,Evening Riders
92,2011-01-04,Spring,2011,Jan,23,Not Holiday,Tuesday,Working Day,Clear,0.2,0.2273,0.69,0.0896,2,9,11,Evening Riders
93,2011-01-05,Spring,2011,Jan,0,Not Holiday,Wednesday,Working Day,Clear,0.2,0.2576,0.64,0.0,0,6,6,Night Riders
94,2011-01-05,Spring,2011,Jan,1,Not Holiday,Wednesday,Working Day,Clear,0.16,0.197,0.74,0.0896,0,6,6,Night Riders
95,2011-01-05,Spring,2011,Jan,2,Not Holiday,Wednesday,Working Day,Clear,0.16,0.197,0.74,0.0896,0,2,2,Night Riders
96,2011-01-05,Spring,2011,Jan,4,Not Holiday,Wednesday,Working Day,Clear,0.24,0.2273,0.48,0.2239,0,2,2,Night Riders
97,2011-01-05,Spring,2011,Jan,5,Not Holiday,Wednesday,Working Day,Clear,0.22,0.2273,0.47,0.1642,0,3,3,Morning Riders
98,2011-01-05,Spring,2011,Jan,6,Not Holiday,Wednesday,Working Day,Clear,0.2,0.197,0.47,0.2239,0,33,33,Morning Riders
99,2011-01-05,Spring,2011,Jan,7,Not Holiday,Wednesday,Working Day,Clear,0.18,0.1818,0.43,0.194,1,87,88,Morning Riders
100,2011-01-05,Spring,2011,Jan,8,Not Holiday,Wednesday,Working Day,Clear,0.2,0.1818,0.4,0.2985,3,192,195,Morning Riders
101,2011-01-05,Spring,2011,Jan,9,Not Holiday,Wednesday,Working Day,Clear,0.22,0.197,0.37,0.3284,6,109,115,Morning Riders
102,2011-01-05,Spring,2011,Jan,10,Not Holiday,Wednesday,Working Day,Clear,0.22,0.197,0.37,0.3284,4,53,57,Morning Riders
103,2011-01-05,Spring,2011,Jan,11,Not Holiday,Wednesday,Working Day,Clear,0.26,0.2273,0.33,0.3284,12,34,46,Morning Riders
104,2011-01-05,Spring,2011,Jan,12,Not Holiday,Wednesday,Working Day,Clear,0.26,0.2273,0.33,0.3284,5,74,79,Afternoon Riders
105,2011-01-05,Spring,2011,Jan,13,Not Holiday,Wednesday,Working Day,Clear,0.28,0.2576,0.3,0.2985,6,65,71,Afternoon Riders
106,2011-01-05,Spring,2011,Jan,14,Not Holiday,Wednesday,Working Day,Clear,0.3,0.2879,0.28,0.194,10,52,62,Afternoon Riders
107,2011-01-05,Spring,2011,Jan,15,Not Holiday,Wednesday,Working Day,Clear,0.3,0.2879,0.28,0.194,7,55,62,Afternoon Riders
108,2011-01-05,Spring,2011,Jan,16,Not Holiday,Wednesday,Working Day,Clear,0.3,0.3182,0.28,0.0896,4,85,89,Afternoon Riders
109,2011-01-05,Spring,2011,Jan,17,Not Holiday,Wednesday,Working Day,Clear,0.24,0.2273,0.38,0.194,4,186,190,Afternoon Riders
110,2011-01-05,Spring,2011,Jan,18,Not Holiday,Wednesday,Working Day,Clear,0.24,0.2424,0.38,0.1343,3,166,169,Evening Riders
111,2011-01-05,Spring,2011,Jan,19,Not Holiday,Wednesday,Working Day,Clear,0.24,0.2576,0.38,0.1045,5,127,132,Evening Riders
112,2011-01-05,Spring,2011,Jan,20,Not Holiday,Wednesday,Working Day,Clear,0.22,0.2273,0.47,0.1642,7,82,89,Evening Riders
113,2011-01-05,Spring,2011,Jan,21,Not Holiday,Wednesday,Working Day,Clear,0.2,0.197,0.51,0.194,3,40,43,Evening Riders
114,2011-01-05,Spring,2011,Jan,22,Not Holiday,Wednesday,Working Day,Clear,0.18,0.197,0.55,0.1343,1,41,42,Evening Riders
115,2011-01-05,Spring,2011,Jan,23,Not Holiday,Wednesday,Working Day,Clear,0.2,0.2576,0.47,0.0,1,18,19,Evening Riders
116,2011-01-06,Spring,2011,Jan,0,Not Holiday,Thursday,Working Day,Clear,0.18,0.2424,0.55,0.0,0,11,11,Night Riders
117,2011-01-06,Spring,2011,Jan,1,Not Holiday,Thursday,Working Day,Clear,0.16,0.2273,0.64,0.0,0,4,4,Night Riders
118,2011-01-06,Spring,2011,Jan,2,Not Holiday,Thursday,Working Day,Clear,0.16,0.2273,0.64,0.0,0,2,2,Night Riders
119,2011-01-06,Spring,2011,Jan,4,Not Holiday,Thursday,Working Day,Mist,0.16,0.197,0.64,0.0896,0,1,1,Night Riders
120,2011-01-06,Spring,2011,Jan,5,Not Holiday,Thursday,Working Day,Mist,0.14,0.1818,0.69,0.0896,0,4,4,Morning Riders
121,2011-01-06,Spring,2011,Jan,6,Not Holiday,Thursday,Working Day,Mist,0.14,0.1667,0.63,0.1045,0,36,36,Morning Riders
122,2011-01-06,Spring,2011,Jan,7,Not Holiday,Thursday,Working Day,Mist,0.16,0.2273,0.59,0.0,0,95,95,Morning Riders
123,2011-01-06,Spring,2011,Jan,8,Not Holiday,Thursday,Working Day,Clear,0.16,0.2273,0.59,0.0,3,216,219,Morning Riders
124,2011-01-06,Spring,2011,Jan,9,Not Holiday,Thursday,Working Day,Mist,0.18,0.2424,0.51,0.0,6,116,122,Morning Riders
125,2011-01-06,Spring,2011,Jan,10,Not Holiday,Thursday,Working Day,Clear,0.2,0.2576,0.47,0.0,3,42,45,Morning Riders
126,2011-01-06,Spring,2011,Jan,11,Not Holiday,Thursday,Working Day,Clear,0.22,0.2576,0.44,0.0896,2,57,59,Morning Riders
127,2011-01-06,Spring,2011,Jan,12,Not Holiday,Thursday,Working Day,Clear,0.26,0.2879,0.35,0.0,6,78,84,Afternoon Riders
128,2011-01-06,Spring,2011,Jan,13,Not Holiday,Thursday,Working Day,Clear,0.26,0.2727,0.35,0.1045,12,55,67,Afternoon Riders
129,2011-01-06,Spring,2011,Jan,14,Not Holiday,Thursday,Working Day,Clear,0.28,0.2727,0.36,0.1642,11,59,70,Afternoon Riders
130,2011-01-06,Spring,2011,Jan,15,Not Holiday,Thursday,Working Day,Clear,0.28,0.2727,0.36,0.0,8,54,62,Afternoon Riders
131,2011-01-06,Spring,2011,Jan,16,Not Holiday,Thursday,Working Day,Clear,0.26,0.2576,0.38,0.1642,12,74,86,Afternoon Riders
132,2011-01-06,Spring,2011,Jan,17,Not Holiday,Thursday,Working Day,Clear,0.22,0.2273,0.51,0.1642,9,163,172,Afternoon Riders
133,2011-01-06,Spring,2011,Jan,18,Not Holiday,Thursday,Working Day,Clear,0.22,0.2273,0.51,0.1343,5,158,163,Evening Riders
134,2011-01-06,Spring,2011,Jan,19,Not Holiday,Thursday,Working Day,Clear,0.22,0.2576,0.55,0.0896,3,109,112,Evening Riders
135,2011-01-06,Spring,2011,Jan,20,Not Holiday,Thursday,Working Day,Clear,0.2,0.2121,0.51,0.1642,3,66,69,Evening Riders
136,2011-01-06,Spring,2011,Jan,21,Not Holiday,Thursday,Working Day,Mist,0.22,0.2121,0.55,0.2239,0,48,48,Evening Riders
137,2011-01-06,Spring,2011,Jan,22,Not Holiday,Thursday,Working Day,Mist,0.22,0.2121,0.51,0.2836,1,51,52,Evening Riders
138,2011-01-06,Spring,2011,Jan,23,Not Holiday,Thursday,Working Day,Mist,0.2,0.197,0.59,0.194,4,19,23,Evening Riders
139,2011-01-07,Spring,2011,Jan,0,Not Holiday,Friday,Working Day,Mist,0.2,0.197,0.64,0.194,4,13,17,Night Riders
140,2011-01-07,Spring,2011,Jan,1,Not Holiday,Friday,Working Day,Mist,0.2,0.197,0.69,0.2239,2,5,7,Night Riders
141,2011-01-07,Spring,2011,Jan,2,Not Holiday,Friday,Working Day,Mist,0.2,0.197,0.69,0.2239,0,1,1,Night Riders
142,2011-01-07,Spring,2011,Jan,4,Not Holiday,Friday,Working Day,Mist,0.2,0.2121,0.69,0.1343,0,1,1,Night Riders
143,2011-01-07,Spring,2011,Jan,5,Not Holiday,Friday,Working Day,Light_snow,0.22,0.2727,0.55,0.0,0,5,5,Morning Riders
144,2011-01-07,Spring,2011,Jan,6,Not Holiday,Friday,Working Day,Mist,0.2,0.2576,0.69,0.0,8,26,34,Morning Riders
145,2011-01-07,Spring,2011,Jan,7,Not Holiday,Friday,Working Day,Clear,0.2,0.2121,0.69,0.1343,8,76,84,Morning Riders
146,2011-01-07,Spring,2011,Jan,8,Not Holiday,Friday,Working Day,Clear,0.2,0.197,0.51,0.2537,20,190,210,Morning Riders
147,2011-01-07,Spring,2011,Jan,9,Not Holiday,Friday,Working Day,Clear,0.2,0.1818,0.47,0.2985,9,125,134,Morning Riders
148,2011-01-07,Spring,2011,Jan,10,Not Holiday,Friday,Working Day,Clear,0.22,0.197,0.37,0.3284,16,47,63,Morning Riders
149,2011-01-07,Spring,2011,Jan,11,Not Holiday,Friday,Working Day,Mist,0.2,0.197,0.4,0.2239,19,48,67,Morning Riders
150,2011-01-07,Spring,2011,Jan,12,Not Holiday,Friday,Working Day,Mist,0.2,0.197,0.37,0.2537,9,50,59,Afternoon Riders
151,2011-01-07,Spring,2011,Jan,13,Not Holiday,Friday,Working Day,Mist,0.2,0.1818,0.37,0.2836,9,64,73,Afternoon Riders
152,2011-01-07,Spring,2011,Jan,14,Not Holiday,Friday,Working Day,Mist,0.2,0.197,0.4,0.2537,7,43,50,Afternoon Riders
153,2011-01-07,Spring,2011,Jan,15,Not Holiday,Friday,Working Day,Mist,0.2,0.2121,0.37,0.1642,9,63,72,Afternoon Riders
154,2011-01-07,Spring,2011,Jan,16,Not Holiday,Friday,Working Day,Mist,0.2,0.2121,0.37,0.1642,5,82,87,Afternoon Riders
155,2011-01-07,Spring,2011,Jan,17,Not Holiday,Friday,Working Day,Mist,0.2,0.2576,0.37,0.0,9,178,187,Afternoon Riders
156,2011-01-07,Spring,2011,Jan,18,Not Holiday,Friday,Working Day,Clear,0.2,0.2273,0.4,0.0896,7,116,123,Evening Riders
157,2011-01-07,Spring,2011,Jan,19,Not Holiday,Friday,Working Day,Clear,0.16,0.197,0.55,0.0896,3,92,95,Evening Riders
158,2011-01-07,Spring,2011,Jan,20,Not Holiday,Friday,Working Day,Clear,0.18,0.2121,0.47,0.1045,1,50,51,Evening Riders
159,2011-01-07,Spring,2011,Jan,21,Not Holiday,Friday,Working Day,Clear,0.18,0.197,0.47,0.1343,0,39,39,Evening Riders
160,2011-01-07,Spring,2011,Jan,22,Not Holiday,Friday,Working Day,Mist,0.18,0.197,0.43,0.1642,2,34,36,Evening Riders
161,2011-01-07,Spring,2011,Jan,23,Not Holiday,Friday,Working Day,Mist,0.18,0.197,0.51,0.1642,1,14,15,Evening Riders
162,2011-01-08,Spring,2011,Jan,0,Not Holiday,Saturday,Holiday,Mist,0.18,0.197,0.51,0.1642,1,24,25,Night Riders
163,2011-01-08,Spring,2011,Jan,1,Not Holiday,Saturday,Holiday,Mist,0.18,0.2121,0.55,0.0896,1,15,16,Night Riders
164,2011-01-08,Spring,2011,Jan,2,Not Holiday,Saturday,Holiday,Mist,0.18,0.2424,0.55,0.0,3,13,16,Night Riders
165,2011-01-08,Spring,2011,Jan,3,Not Holiday,Saturday,Holiday,Light_snow,0.18,0.197,0.55,0.1642,0,7,7,Night Riders
166,2011-01-08,Spring,2011,Jan,4,Not Holiday,Saturday,Holiday,Light_snow,0.18,0.197,0.55,0.1642,0,1,1,Night Riders
167,2011-01-08,Spring,2011,Jan,5,Not Holiday,Saturday,Holiday,Mist,0.16,0.1667,0.74,0.1642,0,5,5,Morning Riders
168,2011-01-08,Spring,2011,Jan,6,Not Holiday,Saturday,Holiday,Mist,0.16,0.1667,0.74,0.1642,0,2,2,Morning Riders
169,2011-01-08,Spring,2011,Jan,7,Not Holiday,Saturday,Holiday,Mist,0.16,0.1818,0.74,0.1045,1,8,9,Morning Riders
170,2011-01-08,Spring,2011,Jan,8,Not Holiday,Saturday,Holiday,Light_snow,0.16,0.1818,0.93,0.1045,0,15,15,Morning Riders
171,2011-01-08,Spring,2011,Jan,9,Not Holiday,Saturday,Holiday,Light_snow,0.16,0.1818,0.93,0.1045,0,20,20,Morning Riders
172,2011-01-08,Spring,2011,Jan,10,Not Holiday,Saturday,Holiday,Mist,0.18,0.197,0.8,0.1642,5,56,61,Morning Riders
173,2011-01-08,Spring,2011,Jan,11,Not Holiday,Saturday,Holiday,Mist,0.2,0.1818,0.69,0.3881,2,60,62,Morning Riders
174,2011-01-08,Spring,2011,Jan,12,Not Holiday,Saturday,Holiday,Mist,0.2,0.1818,0.59,0.3582,8,90,98,Afternoon Riders
175,2011-01-08,Spring,2011,Jan,13,Not Holiday,Saturday,Holiday,Clear,0.2,0.1818,0.44,0.3284,7,95,102,Afternoon Riders
176,2011-01-08,Spring,2011,Jan,14,Not Holiday,Saturday,Holiday,Clear,0.2,0.1667,0.32,0.4925,12,83,95,Afternoon Riders
177,2011-01-08,Spring,2011,Jan,15,Not Holiday,Saturday,Holiday,Clear,0.2,0.1667,0.32,0.4478,5,69,74,Afternoon Riders
178,2011-01-08,Spring,2011,Jan,16,Not Holiday,Saturday,Holiday,Clear,0.18,0.1364,0.29,0.4478,8,68,76,Afternoon Riders
179,2011-01-08,Spring,2011,Jan,17,Not Holiday,Saturday,Holiday,Clear,0.16,0.1212,0.37,0.5522,5,64,69,Afternoon Riders
180,2011-01-08,Spring,2011,Jan,18,Not Holiday,Saturday,Holiday,Clear,0.14,0.1212,0.39,0.2985,3,52,55,Evening Riders
181,2011-01-08,Spring,2011,Jan,19,Not Holiday,Saturday,Holiday,Clear,0.14,0.1212,0.36,0.2537,4,26,30,Evening Riders
182,2011-01-08,Spring,2011,Jan,20,Not Holiday,Saturday,Holiday,Clear,0.12,0.1212,0.36,0.2537,0,28,28,Evening Riders
183,2011-01-08,Spring,2011,Jan,21,Not Holiday,Saturday,Holiday,Clear,0.12,0.1061,0.39,0.3582,2,35,37,Evening Riders
184,2011-01-08,Spring,2011,Jan,22,Not Holiday,Saturday,Holiday,Clear,0.12,0.1061,0.36,0.3881,1,33,34,Evening Riders
185,2011-01-08,Spring,2011,Jan,23,Not Holiday,Saturday,Holiday,Clear,0.1,0.0606,0.39,0.4478,0,22,22,Evening Riders
186,2011-01-09,Spring,2011,Jan,0,Not Holiday,Sunday,Holiday,Clear,0.1,0.0758,0.42,0.3881,1,24,25,Night Riders
187,2011-01-09,Spring,2011,Jan,1,Not Holiday,Sunday,Holiday,Clear,0.1,0.0606,0.42,0.4627,0,12,12,Night Riders
